text
"- Communism makes no sense at all,"
totally opposed to human nature.
It never works.
It always evolves into dictatorship.
"It creates a power vacuum, when you say, hey,"
"there's no structure of power here, right?"
We're all equal. It's a flat line.
"One guy usually gets up,"
"because that's human nature and goes, eh, I don't think so."
"I think if you're gonna leave a power vacuum,"
I'm gonna take that power vacuum.
Corporatism hates competition.
It wants monopoly and oligopoly power.
Whereas capitalism loves competition and wants
the free markets.
"When mainstream media has you hooked,"
you got no hope because you don't
have the right information.
"You have propaganda, you have marketing,"
you don't have real news.
"When you're in the online world, it's chaotic."
"And don't get me wrong, it's got plenty of downsides, right?"
"But within that chaos, the truth begins to emerge."
Trump is a massive risk because of all the things
"we talked about earlier,"
but there is a percentage chance that he's such
"a wild card, that he overturns the whole system,"
and that is why the establishment is a little scared of him.
"- The following is a conversation with Cenk Uygur,"
a progressive political commentator and host
of The Young Turks.
"As I've said before, I will speak with everyone,"
including on the left and the right
"of the political spectrum,"
"always in good faith with empathy, rigor, and backbone."
"Sometimes I fail, sometimes"
"I say stupid, inaccurate, ineloquent things,"
and I frequently change my mind as I'm learning
and thinking about the world.
"For all this,"
"I often get attacked, sometimes fairly, sometimes not,"
but just know that I'm aware when I fall short
and I will keep trying to do better.
I love you all. This is a Lex Fridman Podcast.
To support it please check out our sponsors
in the description.
"And now, dear friends, here's Cenk Uygur."
You wrote a book?
"- Yeah. - A manifesto,"
that outlines the progressive vision for America.
"So the big question,"
what are some defining ideas of progressivism?
- Yes.
"So in order to do that, Lex,"
we gotta talk about where we are in the political spectrum.
"And in fact, there's two different spectrums now."
"People often think of left, right."
"And that's true, that exists."
But layered on top
of that is now populist versus establishment.
"So I'm center left on the left, right spectrum,"
but I'm all the way on that populist end
of the second spectrum.
So where does progressivism lie within that?
"Well, I would argue that it's exactly in those places,"
"it's populist, and it's on the left, but it is not far left."
"So far left is a different animal,"
and we could talk about that in a little bit.
"So in terms of what makes a progressive,"
so expand the circle of liberty and justice for all
and equality of opportunity.
"Now people will say, well,"
"that seems pretty broad and all American, but is it?"
Think about it. So expand the circle of liberty.
"Everybody's in favor of that, right? No, absolutely not."
So certainly the King of England was not in favor
"of expanding the circle of liberty,"
"and the founding father said, we're gonna expand it."
And they expanded it to propertied white men.
"And then progressives have been,"
they're progressives because they expanded the circle
"of liberty, they then, from then on,"
as we were perfecting
"the union, progressives always say, expand it further,"
"include women, include people without property,"
"include all races, and at every turn,"
conservatives fight against it.
"So that doesn't mean if you're a conservative today,"
"you don't wanna include women or minorities, et cetera."
"But today you would say, for example, well,"
"I don't wanna expand the circle of liberty to,"
"for example, undocumented immigrants."
And maybe you're right about that.
And we could have that discussion in terms
of a specific philosophy.
And I don't believe
that undocumented immigrants should immediately be citizens
or anything along those lines.
But I do believe in expanding liberty overall.
And the contours of that are what's interesting.
And then you see justice for all.
Everybody's for...
"No, right now, marijuana possession"
is still illegal in a lot of parts of the country.
"Now, a lot of right wingers and left wingers agree"
that it should be legal.
"But for my entire lifetime,"
black people have been arrested at about 3.7 times
"the rate of white people,"
and the entire country has been fine with it.
"So is that justice? No, they smoke..."
"White people, black people smoke marijuana at the same rate."
Black people get arrested about four times the rate.
That is an injustice that an enormous percentage
of the country was comfortable with.
"Well, progressives aren't comfortable with it."
We want justice for all.
So the equality of opportunity is an interesting one
"because the far left will say,"
at least some portions of them will say equality
"of results, right?"
So progressives just want a fair chance.
"So free college education,"
but afterwards you don't get to have exact same results
as either the wealthiest person
"or we're not all gonna be equal,"
"have equal talent, skills, abilities, et cetera."
- There's a lot of questions I can ask there.
"So on the circle of liberty, yes,"
so expanding the number of people whose freedoms
"are protected, but what about the magnitude of freedom"
for each individual person?
So expanding the freedom of the individual
and protecting the freedoms of an individual.
It seems like progressives are more willing to expand
the size of government where government can do all kinds
"of regulation, all kinds of controls in the individual..."
"- So Lex, what we're probably gonna talk"
about a lot today is balance.
"And so a lot of people think, oh, I'm on the right,"
I'm on the left.
And that comes with a certain preset ideology.
So the right is always correct. The left is always correct.
So there's two problems with that.
"Number one, how could you possibly believe"
in a preset ideology if you're an independent thinker?
"It's literally, by definition, not possible."
"If you say, I lent my brain to an ideology"
"that was created 80 years ago, or eight years ago,"
"or 800 years ago, and I'm not gonna change it,"
"you're saying, I don't think for myself."
"I, you know, I bought into a culture."
"And by the way,"
"there's a lot of different forms of culture you buy into,"
